station_name,free_bikes,empty_slots,latitude,longitude,timestamp
Hausener Weg / Ludwig-Landmann-Straße,4,36,50.13146209716797,8.619362831115723,2026-01-07 22:08:11.686193
Bürgeramt / Zeil,1,39,50.11483383178711,8.692825317382812,2026-01-07 22:08:11.686194
Universitätsklinikum / Theodor-Stern-Kai,18,22,50.09653091430664,8.660743713378906,2026-01-07 22:08:11.686194
Ackermannstraße / Cordierstraße,1,39,50.10084533691406,8.625304222106934,2026-01-07 22:08:11.686195
Jürgen-Ponto-Platz / Neckarstraße (DB-Tower),2,38,50.10962677001953,8.669751167297363,2026-01-07 22:08:11.686195
Max-von-Laue-Straße / Biologicum,1,39,50.17292785644531,8.627294540405273,2026-01-07 22:08:11.686196
Schwarzwaldstraße / Neuwiesenstraße,4,36,50.080623626708984,8.65318489074707,2026-01-07 22:08:11.686196
Sternstraße / Unterweg,0,40,50.12023162841797,8.682299613952637,2026-01-07 22:08:11.686197
Reichsforststraße / Waldstraße,11,29,50.07832336425781,8.648070335388184,2026-01-07 22:08:11.686197
S Lokalbahnhof / Siemensstraße,0,40,50.10275650024414,8.69517993927002,2026-01-07 22:08:11.686198
Weidenbornstraße / Comeniusstraße,0,40,50.13130187988281,8.705388069152832,2026-01-07 22:08:11.686198
Ostbahnhof / Hanauer Landstraße,0,40,50.111820220947266,8.708580017089844,2026-01-07 22:08:11.686199
Seckbacher Landstraße / Weidenbornstraße,1,39,50.130977630615234,8.70896053314209,2026-01-07 22:08:11.686201
Kettenhofweg / Corneliusstraße,0,40,50.11634063720703,8.659880638122559,2026-01-07 22:08:11.686201
Paul-Ehrlich-Straße / Kennedyallee,5,35,50.093849182128906,8.665448188781738,2026-01-07 22:08:11.686202
S Bhf. Taunusanlage / Guiollettstraße,4,36,50.11423110961914,8.669500350952148,2026-01-07 22:08:11.686202
Gießener Straße / Marbachweg,0,40,50.14387512207031,8.692212104797363,2026-01-07 22:08:11.686203
Alte Brücke / Mainkai,2,38,50.10986328125,8.687676429748535,2026-01-07 22:08:11.686203
Universitätsklinikum / Kernbereich I,13,27,50.09690475463867,8.664177894592285,2026-01-07 22:08:11.686204
Ludwigstraße / Niddastraße,19,21,50.107444763183594,8.658690452575684,2026-01-07 22:08:11.686204
Haardtwaldplatz,8,32,50.08610916137695,8.636055946350098,2026-01-07 22:08:11.686205
Eschersheimer Landstraße / Hügelstraße,1,39,50.14788818359375,8.666972160339355,2026-01-07 22:08:11.686205
Marbachweg / Eschersheimer Landstraße,1,39,50.1394157409668,8.670504570007324,2026-01-07 22:08:11.686206
Woolworth Leipziger Strasse,0,40,50.123497009277344,8.643072128295898,2026-01-07 22:08:11.686206
Südbahnhof / Mörfelder Landstraße,0,40,50.098751068115234,8.687594413757324,2026-01-07 22:08:11.686207
Rohrbachstraße / Rothschildallee,0,40,50.1283073425293,8.696378707885742,2026-01-07 22:08:11.686207
U  Heddernheim,7,33,50.160945892333984,8.650035858154297,2026-01-07 22:08:11.686208
Stresemannallee / S-Bahn-Station,8,32,50.09413528442383,8.671173095703125,2026-01-07 22:08:11.686208
Rödelheimer Landstraße / Breitenbachbrücke,4,36,50.12308883666992,8.632981300354004,2026-01-07 22:08:11.686209
Berger Straße / Höhenstraße,1,39,50.122833251953125,8.701228141784668,2026-01-07 22:08:11.686209
Berger Straße / Falltorstraße,0,40,50.12979507446289,8.713783264160156,2026-01-07 22:08:11.686210
Grüneburgweg / Leerbachstraße,6,34,50.121070861816406,8.672355651855469,2026-01-07 22:08:11.686211
Industriehof,0,40,50.12856674194336,8.62952709197998,2026-01-07 22:08:11.686212
Ledermuseum/Berliner Straße,9,31,50.106109619140625,8.751700401306152,2026-01-07 22:08:11.686213
Arnsburger Straße / Mainkurstraße,2,38,50.125484466552734,8.707107543945312,2026-01-07 22:08:11.686213
Gaugrafenstraße / Am Seedamm,1,39,50.12646484375,8.595523834228516,2026-01-07 22:08:11.686214
Wilhelm-Leuschner-Straße/ Windmühlstraße,0,40,50.10566329956055,8.669916152954102,2026-01-07 22:08:11.686216
Eschersheimer Landstraße / Grüneburgweg,1,39,50.12175369262695,8.675601959228516,2026-01-07 22:08:11.686216
Grüneburgweg / Feldbergstraße,1,39,50.12281036376953,8.665717124938965,2026-01-07 22:08:11.686217
Bahnhof Bieber / Poststraße,4,36,50.090091705322266,8.808309555053711,2026-01-07 22:08:11.686217
Rebstockbad,1,39,50.113037109375,8.61866569519043,2026-01-07 22:08:11.686218
Westhafenplatz / Speicherstraße,5,35,50.101585388183594,8.663290023803711,2026-01-07 22:08:11.686218
Eschborn / Camp-Phönix-Park,5,35,50.13399124145508,8.559188842773438,2026-01-07 22:08:11.686219
Campus UAS Frankfurt,1,39,50.13042449951172,8.692181587219238,2026-01-07 22:08:11.686219
Jean-Paul-Straße / Eichendorffstraße,1,39,50.14297866821289,8.662790298461914,2026-01-07 22:08:11.686220
Theodor-Heuss Allee 106,1,39,50.11555099487305,8.632399559020996,2026-01-07 22:08:11.686220
Bornheimer Landstraße / Bäckerweg,1,39,50.122955322265625,8.692523956298828,2026-01-07 22:08:11.686221
S-Bahn Station Messe,0,40,50.112510681152344,8.643823623657227,2026-01-07 22:08:11.686221
Eckenheimer Landstraße / Barchfeldstraße,0,40,50.148189544677734,8.681821823120117,2026-01-07 22:08:11.686223
Glauburgstraße / Weberstraße,1,39,50.12662887573242,8.68655014038086,2026-01-07 22:08:11.686224
Bockenheimer Landstraße / Mendelssohnstraße,3,37,50.11907196044922,8.659764289855957,2026-01-07 22:08:11.686224
Parlamentsstraße / Bornheimer Landwehr,1,39,50.122230529785156,8.7168550491333,2026-01-07 22:08:11.686226
